text,label
"date of birth is 26/3/2014","O O O O I-DATE"
"the document was signed on 12th of July 2023","O O O O O B-DATE I-DATE I-DATE I-DATE"
"payment was made on 2021-07-15","O O O O B-DATE"
"meeting scheduled for March 5, 2022","O O O O B-DATE I-DATE I-DATE"
"policy valid until 15.08.2020","O O O O B-DATE"
"the event happened on 7th September 2019","O O O O B-DATE I-DATE I-DATE"
"contract effective from 01/01/21","O O O O B-DATE"
"passport issued on 5-12-2010","O O O O B-DATE"
"appointment confirmed for Tuesday, 14th June 2023","O O O O B-DATE I-DATE I-DATE I-DATE"
"he joined the company in Dec 2018","O O O O O B-DATE I-DATE"
"deadline for submission is 30/09/2022","O O O O O O B-DATE"
"invoice was generated on 2022.11.01","O O O O O O B-DATE"
"the warranty expires 15-03-2025","O O O O B-DATE"
"conference starts on January 12th, 2024","O O O O B-DATE I-DATE I-DATE"
"flight booked for 2023/04/10","O O O O B-DATE"
"system last updated 10.1.2020","O O O O O B-DATE"
"he graduated in May 2017","O O O O B-DATE I-DATE"
"rent due on 01-12-2019","O O O O B-DATE"
"policy renewed on 2020/6/30","O O O O B-DATE"
"application submitted 17th of Feb 2021","O O O B-DATE I-DATE I-DATE I-DATE"
"her birthday is 2nd May 1999","O O O O B-DATE I-DATE I-DATE"
"contract will expire 31/12/25","O O O O B-DATE"
"passport renewal date 14-07-2018","O O O O B-DATE"
"driver license issued 2016-05-20","O O O O B-DATE"
"membership started in Apr 2020","O O O O O B-DATE I-DATE"
"lease signed on 29 August 2022","O O O O B-DATE I-DATE I-DATE"
"product manufactured on 11th Nov 2015","O O O O B-DATE I-DATE I-DATE"
"visa valid until 2024-12-31","O O O O B-DATE"
"exam scheduled for 03/07/2013","O O O O B-DATE"
"holiday starts 25th December 2021","O O O B-DATE I-DATE I-DATE"
"software license expires 2025/03/18","O O O O B-DATE"
"training session held on 18-11-2020","O O O O O B-DATE"
"certificate awarded 2009-09-09","O O O B-DATE"
"file last modified 15.7.2012","O O O O B-DATE"
"he left the job on 10th Jan 2016","O O O O B-DATE I-DATE I-DATE"
"application reviewed 28 February 2014","O O O B-DATE I-DATE I-DATE"
"policy created 01/05/2008","O O O B-DATE"
"contract signed 2018.03.21","O O O B-DATE"
"shipment arrived 6-6-2019","O O O B-DATE"
"payment due 30.04.2017","O O O B-DATE"
"he retired in July 2005","O O O O B-DATE I-DATE"
"passport expired on 2017/12/30","O O O O B-DATE"
"data collected 9th August 2020","O O O B-DATE I-DATE I-DATE"
"policy canceled 25-09-2011","O O O B-DATE"
"visa issued 12th Dec 2018","O O O B-DATE I-DATE I-DATE"
"form submitted 2000-01-01","O O O B-DATE"
"insurance started 31.3.2009","O O O B-DATE"
"rental contract ends 2026-06-01","O O O O B-DATE"
"he was born on 5th of April 1995","O O O O B-DATE I-DATE I-DATE I-DATE"
"renewal completed 2015/11/20","O O O B-DATE"
"maintenance check on 8-08-2010","O O O O B-DATE"
"job started in Feb 2003","O O O O B-DATE I-DATE"
"graduated on 2004-12-12","O O O B-DATE"
"agreement signed 22nd May 2019","O O O B-DATE I-DATE I-DATE"
"application closed 29-02-2020","O O O B-DATE"
"next review on 2011.04.10","O O O O B-DATE"
"car warranty until 2008/07/25","O O O O B-DATE"
"training ended on 14th October 2022","O O O O B-DATE I-DATE I-DATE"
"appointment on 2029-09-09","O O O B-DATE"
"birth certificate issued 02/02/2002","O O O O B-DATE"
"maintenance log 2013-08-30","O O O B-DATE"
"policy expires 07.07.2017","O O O B-DATE"
"contract signed 1999-05-15","O O O B-DATE"
"passport renewed 10th Jan 2010","O O O B-DATE I-DATE I-DATE"
"invoice paid 22-11-2021","O O O B-DATE"
"delivery on 2007/10/10","O O O B-DATE"
"flight departed 5 May 2008","O O O B-DATE I-DATE I-DATE"
"report filed 17th June 2012","O O O B-DATE I-DATE I-DATE"
"policy issued 16-01-2005","O O O B-DATE"
"enrollment completed 2006-03-03","O O O B-DATE"
"meeting on 04/04/2004","O O O B-DATE"
"system upgrade 2001.09.01","O O O B-DATE"
"visa granted 28th Sep 2018","O O O B-DATE I-DATE I-DATE"
"event held 21-12-2024","O O O B-DATE"
"training on 03-05-2009","O O O B-DATE"
"leave started 15th Jan 2013","O O O B-DATE I-DATE I-DATE"
"contract ended 2014-10-20","O O O B-DATE"
"application processed 19.2.2016","O O O B-DATE"
"policy approved 2002/11/11","O O O B-DATE"
"invoice issued 2010-07-07","O O O B-DATE"
"finalized on 17th July 2023","O O O B-DATE I-DATE I-DATE"
"data backed up 20-08-2019","O O O B-DATE"
"project completed 2003/03/30","O O O B-DATE"
"passport created 2000-06-15","O O O B-DATE"
"rental renewed on 13th Apr 2017","O O O O B-DATE I-DATE I-DATE"
"holiday trip 2005.12.25","O O O B-DATE"
"session held 21st October 2008","O O O B-DATE I-DATE I-DATE"
"certification awarded 01-09-2015","O O O B-DATE"
"event scheduled for 2009/01/20","O O O O B-DATE"
"system crashed on 19.07.2007","O O O O B-DATE"
"student enrolled 1998-02-14","O O O B-DATE"
"he moved in 23rd Nov 2016","O O O O B-DATE I-DATE I-DATE"
"training resumed 24-12-2022","O O O B-DATE"
"survey completed on 2028/08/08","O O O O B-DATE"
"application deadline 29th May 2018","O O O B-DATE I-DATE I-DATE"
