text,label
The subscription fee is 1686 rupees per month,O O O O B-MONEY I-MONEY O O
The item costs $87 pounds,O O O B-MONEY I-MONEY
You owe me S$4206,O O O B-MONEY
You owe me 1893 dollars,O O O B-MONEY I-MONEY
Total balance: SGD 542,O O B-MONEY I-MONEY
I just spent $2506 on food,O O O B-MONEY O O
She paid $29 yen for the ticket,O O B-MONEY I-MONEY O O O
The subscription fee is $4776 euros per month,O O O O B-MONEY I-MONEY O O
I just spent $2062 pounds on food,O O O B-MONEY I-MONEY O O
This phone was bought for £2564,O O O O O B-MONEY
We received £3051 in cash,O O B-MONEY O O
We received $2164 pounds in cash,O O B-MONEY I-MONEY O O
The item costs USD 2941,O O O B-MONEY I-MONEY
We received 3859 dollars in cash,O O B-MONEY I-MONEY O O
I just spent 4994 rupees on food,O O O B-MONEY I-MONEY O O
We received 3085 euros in cash,O O B-MONEY I-MONEY O O
The subscription fee is S$968 per month,O O O O B-MONEY O O
I just spent 3010 bucks on food,O O O B-MONEY I-MONEY O O
I just spent S$883 on food,O O O B-MONEY O O
They donated 3852 euros to charity,O O B-MONEY I-MONEY O O
They donated 1751 yen to charity,O O B-MONEY I-MONEY O O
We received S$4159 in cash,O O B-MONEY O O
Fine imposed was 2297 rupees,O O O B-MONEY I-MONEY
The item costs 2734 yen,O O O B-MONEY I-MONEY
Fine imposed was $1092 rupees,O O O B-MONEY I-MONEY
They donated $824 pounds to charity,O O B-MONEY I-MONEY O O
They donated ¥2812 to charity,O O B-MONEY O O
The subscription fee is 2337 dollars per month,O O O O B-MONEY I-MONEY O O
The item costs $64 bucks,O O O B-MONEY I-MONEY
This phone was bought for $4964 bucks,O O O O O B-MONEY I-MONEY
The subscription fee is 395 rupees per month,O O O O B-MONEY I-MONEY O O
The item costs $2423,O O O B-MONEY
You owe me $394 yen,O O O B-MONEY I-MONEY
Fine imposed was 132 euros,O O O B-MONEY I-MONEY
Fine imposed was ¥3150,O O O B-MONEY
This phone was bought for 1957 bucks,O O O O O B-MONEY I-MONEY
The subscription fee is 3727 euros per month,O O O O B-MONEY I-MONEY O O
I just spent $3739 dollars on food,O O O B-MONEY I-MONEY O O
The item costs ¥58,O O O B-MONEY
The item costs S$3806,O O O B-MONEY
The subscription fee is 1 pounds per month,O O O O B-MONEY I-MONEY O O
They donated $2589 euros to charity,O O B-MONEY I-MONEY O O
This phone was bought for 890 yen,O O O O O B-MONEY I-MONEY
Total balance: €1434,O O B-MONEY
The item costs $2616 dollars,O O O B-MONEY I-MONEY
This phone was bought for 3912 rupees,O O O O O B-MONEY I-MONEY
This phone was bought for $713 dollars,O O O O O B-MONEY I-MONEY
This phone was bought for $128 rupees,O O O O O B-MONEY I-MONEY
Total balance: 1236 euros,O O B-MONEY I-MONEY
We received $1531 in cash,O O B-MONEY O O
This phone was bought for $2689,O O O O O B-MONEY
The subscription fee is $2168 euros per month,O O O O B-MONEY I-MONEY O O
The subscription fee is $1809 pounds per month,O O O O B-MONEY I-MONEY O O
Fine imposed was 25 rupees,O O O B-MONEY I-MONEY
The subscription fee is $2564 dollars per month,O O O O B-MONEY I-MONEY O O
